Utility,Year,Month,Zip Code,Vintage,Arrearage_Amount
Avista,2025,4,99169,90 Days +,13435.16
Avista,2025,7,99009,60 Days,2321.39
Avista,2025,1,98620,60 Days,177.04
Avista,2025,2,99170,90 Days +,1003.93
Avista,2025,6,99138,30 Days,3036.27
Avista,2025,9,99117,30 Days,496.39
Avista,2025,6,99174,60 Days,251.4
Avista,2025,4,99029,30 Days,874.72
Avista,2025,6,99126,90 Days +,6712.66
Avista,2025,7,99207,90 Days +,79029.42
Avista,2025,7,99029,Total Arrearages,3724.51
Avista,2025,5,99224,30 Days,13058.92
Avista,2025,5,99020,60 Days,485.95
Avista,2025,2,99148,60 Days,310.16
Avista,2025,7,99128,60 Days,689.45
Avista,2025,1,99130,60 Days,468.32
Avista,2025,7,99004,Total Arrearages,11181.91
Avista,2025,9,99102,60 Days,1752.35
Avista,2025,7,99204,90 Days +,17614.27
Avista,2025,2,99126,30 Days,1713.75
Avista,2025,8,99206,90 Days +,46942.28
Avista,2025,9,99129,90 Days +,2102.69
Avista,2025,6,99167,30 Days,552.83
Avista,2025,6,99113,30 Days,423.64
Avista,2025,4,99335,Total Arrearages,0.0
Avista,2025,9,99148,60 Days,5502.33
Avista,2025,7,99101,60 Days,4113.57
Avista,2025,1,99113,90 Days +,0.0
Avista,2025,1,99101,60 Days,599.97
