Utility,Zip Code,Month,Arrearage Count
PSE,98027,2021-01-01,1190
PSE,98238,2022-11-01,3
PSE,98117,2021-04-01,481
PSE,98591,2021-04-01,11
Avista,99141,2021-11-01,283
PSE,98203,2021-09-01,780
PSE,98498,2022-09-01,1887
PSE,98390,2025-06-01,101
PSE,98311,2021-01-01,1638
CNG,98221,2023-11-01,460
PSE,98244,2022-02-01,267
CNG,98948,2024-05-01,224
PSE,98346,2025-04-01,1
PSE,98422,2023-01-01,445
PSE,98043,2024-03-01,442
Avista,99122,2023-05-01,96
PSE,98027,2024-07-01,1540
PSE,98409,2023-05-01,1006
PSE,98589,2025-04-01,625
CNG,98284,2023-05-01,350
PSE,98465,2021-07-01,284
NWN,98682,2022-10-01,1436
PSE,98101,2022-05-01,44
Avista,99122,2024-07-01,73
NWN,98605,2022-01-01,23
PSE,98516,2023-11-01,2020
Avista,99141,2022-11-01,281
CNG,98223,2023-12-01,416
Avista,99203,2021-12-01,569
PSE,98092,2024-05-01,4228
PSE,98443,2022-06-01,792
Avista,99164,2021-05-01,1
NWN,98668,2022-07-01,0
PSE,98065,2023-11-01,711
PSE,98354,2023-08-01,299
Avista,99174,2025-02-01,3
PSE,98104,2021-09-01,43
PSE,98229,2023-11-01,1700
PAC,98902,2022-08-01,3949
Avista,99131,2022-04-01,7
PSE,98499,2022-11-01,642
PSE,98445,2022-03-01,1044
PAC, 99360  ,2024-03-01,103
PSE,98327,2023-06-01,72
PSE,98155,2021-03-01,390
Avista,98620,2021-11-01,77
Avista,99160,2022-07-01,16
PSE,98340,2021-02-01,69
Avista,99129,2023-10-01,75
NWN,98648,2024-10-01,0
PSE,98107,2024-01-01,525
Avista,99022,2022-01-01,187
PSE,98026,2023-02-01,803
PSE,98244,2022-07-01,281
Avista,99138,2022-06-01,133
PAC,99323,2025-03-01,273
Avista,99008,2021-06-01,21
PSE,98408,2023-09-01,978
PSE,98056,2024-11-01,2818
PSE,98465,2024-08-01,170
PSE,98103,2023-11-01,1171
Avista,99129,2025-04-01,103
PSE,98405,2022-03-01,1094
PSE,98101,2024-02-01,27
PSE,98004,2024-07-01,2419
PSE,98136,2024-04-01,400
CNG,98611,2024-05-01,14
PAC,98920,2022-02-01,1
PSE,98288,2025-04-01,43
PSE,98337,2024-01-01,1032
PSE,98008,2021-04-01,642
PSE,98074,2022-05-01,963
Avista,99181,2025-06-01,147
CNG,98367,2022-05-01,209
CNG,99344,2023-04-01,184
PSE,98926,2024-06-01,456
PSE,98267,2021-05-01,21
Avista,99111,2023-04-01,106
Avista,99341,2021-09-01,48
PSE,98444,2025-02-01,650
NWN,98127,2023-06-01,0
PSE,98421,2023-03-01,5
Avista,99039,2024-03-01,6
PSE,98240,2021-09-01,195
Avista,99207,2024-02-01,2163
NWN,98682,2022-05-01,2521
CNG,98948,2024-01-01,178
Avista,99005,2022-12-01,155
Avista,99169,2022-12-01,62
PSE,98283,2021-10-01,50
PAC,99360,2022-05-01,85
Avista,99201,2025-02-01,1044
PSE,98103,2023-08-01,1165
PSE,98383,2021-05-01,1124
PSE,98236,2024-07-01,384
PSE,98568,2023-03-01,4
PSE,98338,2021-06-01,724
PSE,98367,2023-06-01,2955
PSE,98445,2023-09-01,1088
PSE,98119,2021-10-01,492
PAC, 98952  ,2024-11-01,71
CNG,98221,2024-11-01,517
Avista,99260,2024-07-01,0
PSE,98247,2024-07-01,563
PSE,98030,2025-02-01,3717
PSE,98077,2022-02-01,195
NWN,98684,2023-08-01,786
PAC, 98939  ,2024-02-01,1980
CNG,98930,2024-09-01,252
PSE,98345,2024-11-01,31
Avista,99029,2025-06-01,33
CNG,98563,2022-06-01,40
PSE,98072,2021-04-01,487
Avista,99143,2023-07-01,20
PSE,98251,2021-04-01,106
PSE,98267,2024-09-01,32
PSE,98387,2022-12-01,2208
Avista,99014,2025-03-01,6
PSE,98040,2023-11-01,942
Avista,99159,2025-06-01,51
PSE,98006,2025-04-01,1516
CNG,98284,2024-01-01,307
Avista,99149,2021-06-01,11
Avista,99004,2023-04-01,176
PAC, 99328  ,2024-03-01,406
CNG,98951,2024-09-01,77
PSE,98122,2023-11-01,1351
CNG,98367,2022-01-01,166
PSE,98359,2021-12-01,221
Avista,99208,2025-03-01,2443
PSE,98230,2023-06-01,1641
PSE,98396,2023-03-01,57
PSE,98329,2024-06-01,4
PSE,98106,2022-06-01,646
Avista,99174,2024-05-01,4
Avista,99216,2022-06-01,1237
Avista,99126,2024-07-01,50
Avista,99174,2022-08-01,4
PSE,98402,2022-09-01,46
Avista,99144,2022-01-01,0
PSE,98070,2021-02-01,571
CNG,98953,2024-07-01,81
Avista,99001,2022-04-01,243
CNG,99338,2022-09-01,93
PSE,98370,2021-10-01,1658
Avista,99109,2022-10-01,206
PSE,98028,2023-01-01,882
CNG,98541,2022-01-01,29
PSE,98532,2023-02-01,183
CNG,98292,2024-05-01,203
PSE,98042,2024-11-01,3409
