Utility,Year,Month,Zip Code,Collections Accounts Customer Count
Avista,2025,12,99110,2
Avista,2025,12,99111,3
Avista,2025,12,99114,13
Avista,2025,12,99117,1
Avista,2025,12,99122,3
Avista,2025,12,99126,1
Avista,2025,12,99129,6
Avista,2025,12,99134,1
Avista,2025,12,99138,3
Avista,2025,12,99141,3
Avista,2025,12,99148,2
Avista,2025,12,99157,3
Avista,2025,12,99159,4
Avista,2025,12,99161,1
Avista,2025,12,99163,67
Avista,2025,12,99167,2
Avista,2025,12,99169,7
Avista,2025,12,99170,2
Avista,2025,12,99171,4
Avista,2025,12,99173,6
Avista,2025,12,99179,1
Avista,2025,12,99181,4
Avista,2025,12,99201,62
Avista,2025,12,99202,49
Avista,2025,12,99203,19
Avista,2025,12,99204,28
Avista,2025,12,99205,102
Avista,2025,12,99206,37
Avista,2025,12,99207,158
Avista,2025,12,99208,126
Avista,2025,12,99212,61
Avista,2025,12,99216,57
Avista,2025,12,99217,62
Avista,2025,12,99218,44
Avista,2025,12,99223,55
Avista,2025,12,99224,37
Avista,2025,12,99341,1
Avista,2025,12,99344,17
Avista,2025,12,99371,2
Avista,2025,12,99402,3
Avista,2025,12,99403,50
