Utility,Year,Month,Zip Code,Vintage,Arrearage_Amount
NWN,2025,9,98620,60 Days,0.0
PSE,2022,2,98118,60 Days,33904.14
Avista,2020,7,99008,30 Days,1169.46
PSE,2022,11,98531,60 Days,14075.14
Avista,2020,3,99114,Total Arrearages,117220.18
Avista,2023,1,99122,90 Days +,9702.5
Avista,2023,1,99005,90 Days +,25087.54
CNG,2024,6,98284,Total Arrearages,60127.73
Avista,2023,7,99005,60 Days,7122.35
PSE,2020,3,98004,Total Arrearages,395929.15
PSE,2024,9,98126,30 Days,13201.08
PSE,2023,12,98118,Total Arrearages,552215.729999999
NWN,2025,3,98664,60 Days,14441.16
PSE,2021,11,98007,30 Days,57475.03
NWN,2021,11,98617,Total Arrearages,0.0
PSE,2024,8,98387,60 Days,69118.06
PSE,2025,5,98380,60 Days,46475.37
CNG,2021,8,98271,60 Days,2069.29
PAC,2025,7,98935,90 Days +,44114.1
PSE,2025,9,98260,90 Days +,75367.21
CNG,2020,12,98292,90 Days +,10096.05
CNG,2022,3,98930,90 Days +,4965.36
Avista,2020,6,99220,Total Arrearages,0.0
Avista,2025,6,99122,90 Days +,9286.38
PSE,2025,1,98296,90 Days +,45684.52
PSE,2024,10,98038,30 Days,162354.44
PAC,2023,6,98930,30 Days,17780.92
NWN,2022,6,98684,Total Arrearages,206576.49
PSE,2023,4,98229,60 Days,107324.23
Avista,2022,8,99011,30 Days,0.0
PSE,2025,3,98004,30 Days,163586.08
PAC,2023,3,98953,Total Arrearages,57041.46
CNG,2023,9,98370,Total Arrearages,11739.7
Avista,2024,5,99212,60 Days,79970.06
PAC,2022,7,98935,60 Days,17404.03
PSE,2021,3,98056,Total Arrearages,972625.02
Avista,2024,9,99169,60 Days,2815.11
PSE,2023,9,98372,60 Days,100024.42
Avista,2021,1,99022,30 Days,15648.95
PSE,2024,4,98027,60 Days,106514.42
PSE,2023,12,98366,90 Days +,978120.74
Avista,2024,3,99107,60 Days,0.0
PSE,2021,11,98249,Total Arrearages,79422.98
Avista,2022,11,99110,60 Days,1111.9
PAC,2024,1,98947,30 Days,56557.96
PSE,2021,5,98002,Total Arrearages,1719751.02
CNG,2025,4,98278,90 Days +,0.0
PSE,2022,7,98312,60 Days,165884.8
Avista,2021,3,99040,60 Days,3903.02
Avista,2025,5,99223,30 Days,122050.74
PSE,2024,4,98037,Total Arrearages,248892.49
PSE,2024,9,98020,Total Arrearages,62120.65
Avista,2024,2,99006,30 Days,23290.01
PSE,2022,9,98422,30 Days,11600.47
PSE,2021,5,98037,60 Days,15321.27
PSE,2020,11,98031,60 Days,72904.65
PAC,2025,3,98942,30 Days,414429.89
Avista,2024,4,99027,Total Arrearages,64625.82
PSE,2022,4,98445,30 Days,67368.66
PSE,2023,4,98221,30 Days,119780.46
PSE,2023,8,98033,30 Days,78990.7
CNG,2023,1,98632,30 Days,8297.2
PSE,2023,7,98115,30 Days,41177.54
NWN,2022,11,98604,30 Days,18550.01
PSE,2023,10,98034,90 Days +,738201.07
PSE,2023,7,98029,30 Days,76467.86
PSE,2022,3,98092,90 Days +,756695.14
PAC,2025,3,98902,Total Arrearages,1577202.98
PSE,2024,4,98146,90 Days +,124838.97
PSE,2023,11,98125,60 Days,1665.26
PSE,2025,6,98258,90 Days +,226469.9
Avista,2022,8,99033,30 Days,1141.35
CNG,2021,12,98951,60 Days,625.32
PSE,2024,1,98252,Total Arrearages,68612.74
PSE,2021,12,98925,30 Days,1719.8
PSE,2021,12,98342,30 Days,5327.62
PSE,2022,3,98133,Total Arrearages,263812.71
Avista,2022,9,99164,60 Days,0.0
PSE,2023,3,98375,60 Days,136126.08
Avista,2024,7,99403,90 Days +,50968.14
NWN,2021,9,98026,90 Days +,0.0
PAC,2021,4,98938,60 Days,13639.66
CNG,2023,4,98902,30 Days,223304.82
PSE,2024,1,98148,Total Arrearages,429128.529999999
PSE,2024,3,98077,30 Days,29082.63
CNG,2023,1,98314,30 Days,118.09
PAC,2021,12,99324,Total Arrearages,114177.2
PSE,2022,11,98022,90 Days +,529979.219999999
CNG,2022,5,99324,Total Arrearages,23316.44
NWN,2025,2,98125,Total Arrearages,0.0
PSE,2023,9,98115,30 Days,27564.92
PSE,2021,2,98133,Total Arrearages,140280.27
PAC,2020,10,98944,60 Days,83626.53
PSE,2020,3,98255,60 Days,3691.52
PSE,2025,1,98074,60 Days,18293.14
NWN,2022,8,98635,90 Days +,0.0
NWN,2024,8,98119,90 Days +,0.0
PSE,2023,12,98364,Total Arrearages,1237.19
PSE,2025,8,98580,60 Days,36703.78
Avista,2025,7,99030,Total Arrearages,9940.81
PSE,2025,9,98506,Total Arrearages,698880.159999999
PAC,2023,7,98932,Total Arrearages,334701.29
PSE,2023,9,98332,Total Arrearages,94030.54
Avista,2020,8,99159,Total Arrearages,11391.51
PAC,2023,8,99348,30 Days,5052.51
CNG,2023,7,98292,30 Days,6162.98
PSE,2024,9,98281,60 Days,7156.65
PSE,2020,8,98238,60 Days,271.37
PSE,2023,7,98023,30 Days,343342.44
PSE,2020,8,98312,30 Days,79416.87
PSE,2023,1,98465,60 Days,181.37
PSE,2023,4,98392,Total Arrearages,198019.409999999
PSE,2022,5,98531,Total Arrearages,227768.869999999
PSE,2024,6,98092,60 Days,289821.81
PSE,2024,9,98580,Total Arrearages,381009.03
Avista,2023,5,99130,30 Days,3672.45
CNG,2024,6,98345,90 Days +,111.25
PSE,2023,1,98008,60 Days,20075.12
PSE,2021,11,98421,Total Arrearages,1554.95
PAC,2022,9,98921,Total Arrearages,55711.98
PSE,2024,4,98388,60 Days,10605.51
Avista,2020,7,99174,90 Days +,3056.39
Avista,2025,10,99204,60 Days,16462.9
Avista,2021,2,99014,30 Days,3.22
PSE,2025,4,98104,30 Days,2812.36
PSE,2025,5,98019,90 Days +,100749.51
PSE,2020,7,98032,Total Arrearages,798846.84
NWN,2022,6,98617,90 Days +,0.0
Avista,2023,10,99117,Total Arrearages,1990.05
Avista,2023,7,99134,90 Days +,14873.28
CNG,2020,8,98337,90 Days +,27433.32
PSE,2024,12,98103,60 Days,15741.93
Avista,2024,11,99025,90 Days +,5756.32
